// Compost colors for brain_delight. You may add your own colors, change existing ones, or remove colors that aren't needed.
bakebrainstew, #c9764d
bakedbrainflower, #ffa475
brain, #ffb5c6
braincandy, #ff9eb9
braincooked, #ff9168
braincream, #ff9d89
brainessence, #fa7993
brainfeast, #e89364
brainflavorroll, #ffd9fb
brainflower, #ffc2d3
braingreen, #847666
brainpiecooked, #ffa468
brainpieslice, #ffca83
brainpowder, #d2aac9
brainrice, #e0895c
brainriceroll, #ffc2c8
brainricerollmedley, #e3978a
brainsandwich, #ffa757
brainweird, #897d6b
claybiscuit, #edb593
cone, #e87a2c
cornwarp, #fcaa57
meatpiece, #ffa5b8
meatpiececooked, #ffa16c
meatpiecemoss, #dea78c
oil, #c6ae9e
oilstainedseaweedsoup, #83682d
popsmart, #ffc8b6
renaogaotang, #bb6e4a
roadblock_helmet, #ff680c
scaldingbrainflower, #ffcc98
smokedsausage, #f07c61
thinkingbrain, #ea93a0
toywindmill, #72724d
treasurebag, #b57836
zombiebuildingblocks, #4aa284
