// Compost colors for butchersdelight. You may add your own colors, change existing ones, or remove colors that aren't needed.
cow_hide, #663a2a
goat_fur, #ffffff
hoglinskin, #ffd49b
hokedhoglin, #ffc096
hooked_goat, #fff7ed
hookedcow, #978379
hookedcowprocess_1, #ff695f
hookedcowprocess_12, #ff695f
hookedcowprocess_2, #ff695f
hookedcowprocess_22, #ff695f
hookedcowprocess_3, #ff695f
hookedcowprocess_32, #ff695f
hookedcowskinned, #ff695f
hookedcowskinned_2, #ff695f
hookedpig, #ffc0bc
hookedpigp_1, #ffc0bc
hookedpigp_12, #ffc0bc
hookedpigp_2, #ffc0bc
hookedpigp_22, #ffc0bc
hookedpigp_3, #ffc0bc
hookedpigp_32, #ffc0bc
hookedsheepp_1, #fff7ed
hookedsheepp_12, #fff7ed
hookedsheepp_2, #fff7ed
hookedsheepp_22, #fff7ed
hookedsheepp_3, #fff7ed
hookedsheepp_32, #fff7ed
hookedsheepskinned, #fff7ed
hookedsheepskinned_2, #fff7ed
sheephide, #fff5e3
