// Compost colors for cloudertinker. You may add your own colors, change existing ones, or remove colors that aren't needed.
bloodlust_power, #fff7ff
bloodshed_ingot, #ffbfc8
changeheart, #ffffff
chimera_ingot, #b891dc
clean_pastry, #ffffff
cola_bottle, #ffffff
colairon_ingot, #cdb2b4
compositesteeleaf_ingot, #fcfff1
dectird_ingot, #abffe8
devil_chain, #e370ff
evilmare_ingot, #a5d4e0
fierdistear, #ffebf2
forest_gem, #deffff
forestbone, #8eafb8
fortification_scepter_core, #ffffff
frostiron_ingot, #ffffff
giant_blade_cast, #fffff2
giant_blade_red_sand_cast, #fffbc6
giant_blade_sand_cast, #ffffff
glavenus_ingot, #6c2064
glaze_ingot, #ffffff
hydra_scale, #9db5c6
iron_cookie, #ffffdc
lifedrain_scepter_core, #ffffff
magala_ingot, #cfbbda
magnet_ingot, #eeb5e4
mazeslime_ingot, #ffffff
minodiamond_gem, #e7ffff
minogold_ingot, #ffff9e
obsidian_cookie, #d0a4f1
orescore, #f2f1b2
phantom_card, #ffffff
phantom_ingot, #cfeac9
prublaze_ingot, #ffffd3
questiron_ingot, #dee4f0
sorteye, #fffffa
steelbone, #d0d0d0
steeleafalloy, #bed9b6
timering, #78a750
twilight_scepter_core, #ffffff
zombie_scepter_core, #ffffff
