// Compost colors for extrabotany. You may add your own colors, change existing ones, or remove colors that aren't needed.
achilles_shield, #e7c2cc
aerialite_hammer, #dcffff
aerialite_ingot, #66b2d6
aerialite_nugget, #ffffff
annoyingflower, #d2d2c8
bellflower, #9dff3a
blood_enchantress, #8e652c
camera, #e4e3e4
challenge_ticket, #bfbbbb
core_of_the_void, #ffffff
curse_ring, #cfffff
das_rheingold, #ffffac
dispersive_ring, #dd434a
drei_reward_bag, #cdae2d
edelweiss, #f1ffff
eins_reward_bag, #fceee4
elementium_hammer, #ffffff
elementium_quartz, #f552ff
elementium_shield, #ffcfff
enchanter, #44373a
excalibur, #ffff57
failnaught, #9daf83
feather_of_jingwei, #ff9773
fried_chicken, #ff8a44
frost_ring, #c9ffff
gaia_hammer, #ffffff
gaia_quartz, #66ff52
gilded_potato, #ffffe0
gilded_potato_mashed, #fffff1
goblin_slayer_boots, #ffffff
goblin_slayer_chestplate, #f8f8f7
goblin_slayer_helmet, #ffffff
goblin_slayer_leggings, #ffffff
hero_medal, #d9c266
holy_water_grenade, #ffffff
infinite_wine, #ffffff
jackie_chan_ring, #d0fbff
lens_mana, #2dd6ff
lens_potion, #ff43ff
lens_push, #fff839
lens_smelt, #ccb5ab
lens_trace, #ff3939
magic_finger, #5ab4ea
mana_cocktail, #f8ffff
mana_glass_bottle, #ffffff
mana_reader, #4e3022
mana_ring_master, #ffffda
manalink, #4ddbe
manasteel_hammer, #ebe4fe
manasteel_shield, #c8fbff
mirrowtunia, #bbffff
moonlight_lily, #bf51f2
music_disc_gaia3, #545454
nature_orb, #7aa528
necrofleur, #ffffdd
necrofleur_chibi, #fffff2
nightmare_fuel, #e4e3de
nine_and_three_quarters_reward_bag, #e8e8e0
omniviolet, #7aa593
orichalcos_hammer, #e4d6ff
orichalcos_ingot, #e7a5f5
orichalcos_nugget, #ffffff
pandoras_box, #fff4d4
parkour_ring, #e8f2ff
photonium_hammer, #fff0ea
photonium_ingot, #ffffff
photonium_nugget, #ffffff
pleiades_combat_maid_boots, #ffffff
pleiades_combat_maid_headgear, #878787
pleiades_combat_maid_skirt, #8d8d8d
pleiades_combat_maid_suit, #797570
pure_daisy_pendant, #faffeb
reikarlily, #40dde4
resoncund, #eeab7d
rhein_hammer, #ffffd9
sanguine_pleiades_combat_maid_suit, #975252
serenitian, #ffffff
shadow_warrior_boots, #1e1e20
shadow_warrior_chestplate, #4d4841
shadow_warrior_helmet, #7f7028
shadow_warrior_leggings, #2f3d48
shadowium_hammer, #ead7d0
shadowium_ingot, #b6b6b6
shadowium_nugget, #ffffff
spider_ring, #d0fcff
spirit_fragment, #fff232
spirit_fuel, #fffe33
starry_idol_boots, #e4ffff
starry_idol_headgear, #4abccd
starry_idol_skirt, #4b696e
starry_idol_suit, #96eaeb
stonesia, #9d8a7f
sunshine_lily, #ffff3e
terrasteel_hammer, #defccf
terrasteel_shield, #d2ffd4
the_chaos, #ffffff
the_end, #ffffff
the_origin, #ffffff
the_universe, #ffffff
tinkle, #8eb95a
trade_orchid, #66d772
twinstar, #dcff25
vier_reward_bag, #fffa07
void_archives, #ffed5b
walking_cane, #ffffb1
woodienia, #ebac40
zadkiel, #ffffff
zwei_reward_bag, #79553a
