// Compost colors for grimoireofgaia. You may add your own colors, change existing ones, or remove colors that aren't needed.
bag_arrows, #7c6e52
bag_book, #c0b193
bag_record, #b2a184
book_of_memory, #e8cd9b
box_egg, #d0bfa2
box_hat, #654d22
box_old, #917f5f
cave_spider_staff, #ffffff
cursed_metal_sword, #5a3d7d
diamond_shard, #ffffff
elytra_fragment, #7a7a83
emerald_shard, #ffffff
experience_diamond, #ffffff
experience_gold, #ffffff
experience_iron, #ffffff
fireshard, #ffffeb
fur, #ffffff
giga_gear, #e1ffff
golden_apple_pie, #ffffff
golden_apple_pie_slice, #ffffff
heavy_barbell, #f2f2f2
holstaurus_token, #ffffff
honeydew, #ffffed
knuckles, #7d7d7d
magic_staff, #ffffff
mandrake, #bccfa1
meat, #6b3a28
metal_club, #827f7a
metal_dagger, #8e8a84
monster_feed, #694d1c
nether_wart_jam, #ffffff
premium_monster_feed, #dddddd
projectile_bomb, #575757
projectile_bubble, #7dffff
projectile_poison, #7fc372
quill, #c9dad7
ring_of_haste, #878787
ring_of_jump, #a4a4a4
ring_of_night, #6c6c6c
ring_of_speed, #7c7c7c
rotten_heart, #ffddcd
seashell_hairpin, #864844
shiny_pearl, #fffff7
skeleton_staff, #ffffff
soulfire, #ffffff
spawn_creeper_girl, #faffea
spawn_ender_girl, #f1e6f4
spawn_slime_girl, #ffffff
spawn_trader, #ffffff
stone_coal, #e3e3e3
taproot, #f5e8d3
totem_of_undying_fragment, #ddbc69
trader_token, #ffffff
weresheep_token, #ffffff
withered_brain, #b6b6b6
zombie_staff, #ffffff
