// Compost colors for hmag. You may add your own colors, change existing ones, or remove colors that aren't needed.
ancient_boots, #ffffff
ancient_chestplate, #ded3d2
ancient_helmet, #ffffff
ancient_leggings, #fcf4f5
ancient_stone, #ffffff
bat_stew, #ffffff
bat_wing, #fbf2ea
blasting_bottle, #ffffff
burning_core, #ffe6de
cooked_ravager_meat, #ffffff
cooked_savagefang_meat, #ffffff
cooked_swamper_tentacle, #ffffff
copper_nugget, #ffffff
crimson_bow, #ffffff
crimson_cuticula, #fffeff
cubic_nucleus, #ffffff
cureberry, #ffffff
diamond_fragment, #ffffff
dyssomnia_skin, #ffffff
emerald_fragment, #ffffff
ender_plasm, #ffffff
endless_pearl, #ffffff
evil_arrow, #ffffff
evil_crystal, #fff0f0
evil_crystal_fragment, #ffffff
evil_crystal_upgrade_smithing_template, #f5eae1
evil_flame, #ffffff
evil_prismarine, #ffffff
evil_thorn, #ffffff
exp_berry, #ffffff
fire_bottle, #ffffff
fortune_crystal, #ffffff
fortune_crystal_plus, #f0ffff
golden_fork, #ffffff
golden_tropical_fish, #ffffff
greedy_crystal, #ffffff
greedy_crystal_plus, #ffffff
honeyed_apple, #fffff8
honeyed_lemon, #ffffeb
insomnia_fruit, #f0f4ff
insomnia_sword, #ffffff
iron_spear, #ffffff
kobold_leather, #ffffff
lemon, #ffffbb
lemon_pie, #ffffe8
lich_cloth, #ffffff
lightning_bottle, #ffffff
lightning_particle, #ffffff
lightning_soup, #ffffff
multiplex_reinforcing_chain, #b4a0b6
mysterious_petal, #ffffff
necrofiber, #ffffff
necrotic_chainmail_boots, #ffffff
necrotic_chainmail_chestplate, #f5dce3
necrotic_chainmail_helmet, #ffffff
necrotic_chainmail_leggings, #fff8fc
nemesis_blade, #ffffff
nether_star_fragment, #ffffff
netherite_nugget, #ffffff
ogre_horn, #ffffff
purification_cloth, #ffffff
randomberry, #ffffff
ravager_meat, #ffffff
reinforcing_chain, #fffeff
repulsion_gadget, #ffffff
savagefang_meat, #ffffff
sharp_fang, #ffffff
soul_apple, #ffffff
soul_powder, #ffffff
spectral_soup, #ffffff
swamper_tentacle, #fffffa
swampy_stew, #ffffff
tiny_netherite_scrap, #ffffff
