// Compost colors for iceandfire. You may add your own colors, change existing ones, or remove colors that aren't needed.
ambrosia, #bb8483
amphithere_arrow, #6f9779
amphithere_feather, #687c54
amphithere_macuahuitl, #8e9d89
amphithere_skull, #cacaae
armor_amythest_boots, #553280
armor_amythest_chestplate, #4b2c6e
armor_amythest_helmet, #58416e
armor_amythest_leggings, #5b3a76
armor_black_boots, #201f20
armor_black_chestplate, #262526
armor_black_helmet, #393737
armor_black_leggings, #413d40
armor_blue_boots, #90edff
armor_blue_chestplate, #83e8ff
armor_blue_helmet, #a2d7fc
armor_blue_leggings, #93e1ff
armor_bronze_boots, #bb7f47
armor_bronze_chestplate, #976536
armor_bronze_helmet, #a7784a
armor_bronze_leggings, #bb7d46
armor_copper_boots, #805434
armor_copper_chestplate, #724a30
armor_copper_helmet, #785841
armor_copper_leggings, #83583d
armor_copper_metal_boots, #7f5a46
armor_copper_metal_chestplate, #9a6548
armor_copper_metal_helmet, #94664e
armor_copper_metal_leggings, #4b434b
armor_electric_boots, #323a7d
armor_electric_chestplate, #2f3470
armor_electric_helmet, #434772
armor_electric_leggings, #3e4380
armor_gray_boots, #5e5b55
armor_gray_chestplate, #55524b
armor_gray_helmet, #5f5c55
armor_gray_leggings, #5e5b54
armor_green_boots, #61b665
armor_green_chestplate, #47944a
armor_green_helmet, #61a55f
armor_green_leggings, #5eb461
armor_red_boots, #642825
armor_red_chestplate, #5f221f
armor_red_helmet, #7a4a43
armor_red_leggings, #82302d
armor_sapphire_boots, #6996ff
armor_sapphire_chestplate, #446bca
armor_sapphire_helmet, #5579c8
armor_sapphire_leggings, #6894ff
armor_silver_boots, #bfcade
armor_silver_chestplate, #c6d4e8
armor_silver_helmet, #bbc9dc
armor_silver_leggings, #c5d2e7
armor_silver_metal_boots, #b6bbc3
armor_silver_metal_chestplate, #e0e6f0
armor_silver_metal_helmet, #9896a2
armor_silver_metal_leggings, #a587a0
armor_white_boots, #ffffff
armor_white_chestplate, #ffffff
armor_white_helmet, #f8ffff
armor_white_leggings, #ffffff
bestiary, #683e3d
blindfold, #c99483
burnt_torch, #866e4b
cannoli, #fffffb
chain, #dee1eb
chain_sticky, #e6fceb
cockatrice_eye, #9e9e9e
cockatrice_scepter, #464646
cockatrice_skull, #403e3c
copper_axe, #704a2a
copper_hoe, #6e4e2a
copper_nugget, #8a5e3d
copper_pickaxe, #724e2c
copper_shovel, #7f5a33
copper_sword, #75543c
creative_dragon_meal, #ff9dea
cyclops_eye, #c38a83
cyclops_skull, #aaaa8d
deathworm_chitin_red, #ffe4e1
deathworm_chitin_white, #ffffff
deathworm_chitin_yellow, #ffffff
deathworm_egg, #f1e4cd
deathworm_egg_giant, #ebd3bb
deathworm_red_boots, #643a37
deathworm_red_chestplate, #834843
deathworm_red_helmet, #654a44
deathworm_red_leggings, #653933
deathworm_tounge, #9ada94
deathworm_white_boots, #9d9d9d
deathworm_white_chestplate, #c8c8c6
deathworm_white_helmet, #898784
deathworm_white_leggings, #a09d9b
deathworm_yellow_boots, #989484
deathworm_yellow_chestplate, #bfb8a1
deathworm_yellow_helmet, #878373
deathworm_yellow_leggings, #9b9484
diamond_hippogryph_armor, #80ffdc
dragon_debug_stick, #e770ca
dragon_flute, #94938c
dragon_horn, #938970
dragon_ice_spikes, #ffffff
dragon_meal, #d7ac89
dragon_skull_fire, #a8a290
dragon_skull_ice, #b2b4aa
dragon_skull_lightning, #8d847d
dragon_stick, #ffffff
dragonarmor_copper_body, #a07a62
dragonarmor_copper_head, #ae8c75
dragonarmor_copper_neck, #977d6b
dragonarmor_copper_tail, #aa826c
dragonarmor_diamond_body, #7feacc
dragonarmor_diamond_head, #70ffff
dragonarmor_diamond_neck, #72b9b1
dragonarmor_diamond_tail, #66ffff
dragonarmor_dragonsteel_fire_body, #525152
dragonarmor_dragonsteel_fire_head, #796596
dragonarmor_dragonsteel_fire_neck, #646162
dragonarmor_dragonsteel_fire_tail, #5a585c
dragonarmor_dragonsteel_ice_body, #97a0a2
dragonarmor_dragonsteel_ice_head, #aaaeab
dragonarmor_dragonsteel_ice_neck, #909694
dragonarmor_dragonsteel_ice_tail, #9aa1a2
dragonarmor_dragonsteel_lightning_body, #735e93
dragonarmor_dragonsteel_lightning_head, #a182d3
dragonarmor_dragonsteel_lightning_neck, #8e76b1
dragonarmor_dragonsteel_lightning_tail, #826ca5
dragonarmor_gold_body, #e8bb55
dragonarmor_gold_head, #dab96c
dragonarmor_gold_neck, #c2a765
dragonarmor_gold_tail, #e4bb5b
dragonarmor_iron_body, #908c89
dragonarmor_iron_head, #9d9b93
dragonarmor_iron_neck, #898783
dragonarmor_iron_tail, #8a8987
dragonarmor_silver_body, #b6c0cd
dragonarmor_silver_head, #abb1bc
dragonarmor_silver_neck, #9da2ac
dragonarmor_silver_tail, #bec2cc
dragonbone, #b9b4a2
dragonbone_arrow, #a2a198
dragonbone_axe, #a5a18e
dragonbone_bow, #a5a191
dragonbone_hoe, #9a9686
dragonbone_pickaxe, #a19d89
dragonbone_shovel, #989686
dragonbone_sword, #ffffb9
dragonbone_sword_fire, #ffb53d
dragonbone_sword_ice, #ddfeff
dragonbone_sword_lightning, #f4c5ff
dragonegg_amythest, #551565
dragonegg_black, #252525
dragonegg_blue, #a7eaff
dragonegg_bronze, #835714
dragonegg_copper, #6b3c14
