// Compost colors for monsters_and_girls. You may add your own colors, change existing ones, or remove colors that aren't needed.
airborne_ender_puffball_cap_helmet, #cd64a2
airborne_ender_puffball_girl_in_bed, #f480ea
brown_mushroom_girl_in_a_jar, #ffb97d
brown_mushroom_hat_helmet, #d9a582
candies, #ffc078
cold_spit, #cdffff
crimson_girlina_jar, #d61f1c
crimson_hat_helmet, #ed3622
debug, #ffdab8
end_puffball, #faaaff
ender_blossom, #b54087
ender_ginger, #ff6e0c
ender_puffball_doors, #eebcff
ender_puffball_gal_ina_jar, #f869f7
ender_puffball_hat_helmet, #e77ad7
ender_sprouts, #eb6be8
ender_willow_door, #830476
ender_willow_fruit, #690052
ender_willow_sapling, #ffca25
fly_alexgaric_ina_jar, #ffff57
genesis_powder, #23c998
glow_berry_bush, #9da43c
glow_berry_bush_unlit, #869e3a
inferna_mushroom_hat_helmet, #ffa891
infernal_mushroom_gal_ina_jar, #ff8d7d
ink_cap_hat_helmet, #b8afa5
ink_cap_mushroom, #a1a094
ink_cap_mushroom_girl_in_bed, #9d938a
jar_terrarium, #ffffff
mandrake, #ddf293
mizuno_crimson_hat_helmet, #fe1b5e
mizuno_warped_hat_helmet, #ec6d7
molten_fungus, #dd7f1c
molten_fungus_doors, #ffb205
molten_fungus_hat_helmet, #98653c
molten_mushroom_gal_ina_jar, #a46c3c
molten_stew, #ae7312
monster_girls_bestiary, #9d5137
mushroomgirlina_jar, #ffa884
nether_stew, #9d3916
poisonous_stew, #547916
puffball_stew, #90434e
rare_crimson_gal_ina_jar, #da147a
rare_warpedgirlina_jar, #15bccd
red_mushroom_hat_helmet, #ffaa96
red_station_carpet, #ff8078
snowball_doors, #ebffff
snowball_hat_helmet, #11aaf0
snowball_mushroom, #a7ffff
snowball_mushroom_girl_in_bed, #47c6fa
snowball_stew, #879175
soul_wanderer_doors, #22ffff
soul_wanderer_hat_helmet, #70a48c
soul_wanderer_mushroom, #ffffff
soul_wanderer_mushroom_girl_ina_jar, #669386
soul_wanderers_stew, #557d68
spectral_cake, #c6ffff
sticky_goo_item, #ff0cf2
sticky_goo_projectile, #ff05ff
tiny_bed, #ffffff
warped_fungus_hat_helmet, #54b48d
warpedgirlinajar, #3cac8c
yellow_agaric_cap_helmet, #ffffff
