// Compost colors for nffgirls. You may add your own colors, change existing ones, or remove colors that aren't needed.
abyss_amulet, #506186
abyss_amulet_ii, #506186
aqua_jade, #ccd7fc
aqua_jade_ii, #ccd7fc
aqua_jade_iii, #ccd7fc
burnished_jade, #ffffff
combat_commanding_wand, #ffede4
commanding_wand, #ffede4
corrupted_amulet, #848498
corrupted_amulet_ii, #848498
courage_badge, #d2c3b2
courage_badge_ii, #d2c3b2
courage_badge_iii, #d2c3b2
crude_amulet, #ffffea
crude_badge, #c9c0b9
death_crystal, #b1a5bf
death_crystal_powder, #e7e6ff
empty_magical_gel_bottle, #ffffff
empty_mob_storage_pod, #ffffff
ender_fruit_jam, #ffffff
ender_pie, #c2f2e3
enderberry, #caebcf
evil_gem, #fff8f8
evil_jade, #d3b2b2
evil_jade_ii, #d3b2b2
evil_jade_iii, #d3b2b2
evil_magnet, #cdb2b2
exp_modifier, #e8f4a5
favorability_modifier, #ffd3cc
healing_jade, #ffe3ff
healing_jade_ii, #ffe3ff
healing_jade_iii, #ffe3ff
holy_jade, #ffffd4
holy_jade_ii, #ffffd4
holy_jade_iii, #ffffd4
jade_material, #f7f4f1
life_jade, #66dc86
life_jade_ii, #66dc86
life_jade_iii, #66dc86
magical_gel_ball, #f7edff
magical_gel_bottle, #ffffff
mob_dictionary, #d4a0a0
mob_respawner, #ffffff
mob_storage_pod, #ffffff
nature_badge, #beffe3
nature_badge_ii, #beffe3
nature_badge_iii, #beffe3
nature_badge_iv, #beffe3
nature_badge_v, #beffe3
natures_rage_badge, #ffa098
natures_rage_badge_ii, #ffa098
natures_rage_badge_iii, #ffa098
natures_tenderness_badge, #c0f4ff
natures_tenderness_badge_ii, #c0f4ff
natures_tenderness_badge_iii, #c0f4ff
necromancer_hat, #ffffff
necromancer_wand, #9678a8
netherite_fork, #ffffff
peach_wood_sword, #c85f20
poison_jade, #cdffed
poison_jade_ii, #cdffed
poison_jade_iii, #cdffed
poison_jade_iv, #cdffed
raw_jade, #f4e8e0
refined_amulet, #ffffe7
refined_badge, #e0e6ee
reinforced_fishing_rod, #ffffff
resistance_amulet, #e3e7e4
resistance_amulet_ii, #e3e7e4
resistance_amulet_iii, #e3e7e4
resistance_core, #ffffff
soul_amulet, #b89a91
soul_amulet_ii, #b89a91
soul_amulet_iii, #b89a91
soul_amulet_iv, #b89a91
soul_cake, #7a9ac6
soul_cake_slice, #b2c2ed
soul_cloth, #abb2c3
soul_flour, #ffffff
sunhat, #fffff5
tab_icon, #fffff7
taming_progress_probe, #fffaff
taoist_talisman, #ffffe1
trade_introduction_letter, #f4d6d6
transferring_tag, #f5d2d2
treasure_hunter_badge, #e1ffff
treasure_hunter_badge_ii, #e1ffff
treasure_hunter_badge_iii, #e1ffff
wither_amulet, #d4d4d4
wither_amulet_ii, #d4d4d4
wither_amulet_iii, #d4d4d4
