// Compost colors for rats. You may add your own colors, change existing ones, or remove colors that aren't needed.
air_raid_siren, #b6ab96
ancient_sawblade, #fffbe6
arcane_technology, #c6ffc9
archeologist_hat, #ffe8d2
assorted_vegetables, #edc957
aviator_hat, #877665
biplane_wing, #d4514b
black_death_mask, #ebe1e3
blue_cheese, #eaffff
centipede, #fff8e8
charged_creeper_chunk, #96fff1
charged_ratbot_barrel, #e6c2c0
cheese, #ffffa0
cheese_cannonball, #fca516
cheese_stick, #fad9a1
chef_toque, #ffffff
chunky_cheese_token, #ffffea
confit_byaldi, #ffffff
contaminated_food, #c9cc87
cooked_rat, #ffffe0
corrupt_rat_skull, #f4eeed
creative_cheese, #fff2af
crimson_liquid, #ffffff
dragon_wing, #ffbfbe
dutchrat_bell, #a8f8a1
dutchrat_wheel, #a2ffa4
exterminator_hat, #fffffe
farmer_hat, #ffffe7
feathery_wing, #ffffff
feral_bagh_nakhs, #fffff7
feral_rat_claw, #ffffff
filth, #ffffff
filth_corruption, #36322d
fisherman_hat, #ffffff
gem_of_ratlantis, #c3f764
ghost_pirat_cutlass, #a8ffaa
ghost_pirat_ectoplasm, #acffaf
ghost_pirat_hat, #acffaf
gilded_rat_flute, #ffffff
golden_rat_skull, #ffffaf
halo_hat, #ffffff
herb_bundle, #cfbfa0
idol_of_ratlantis, #b2ff5f
little_black_squash_balls, #fffff8
little_black_worm, #ffffff
military_hat, #ae7d69
music_disc_living_mice, #4e5e6c
music_disc_mice_on_venus, #6c5050
nether_cheese, #ff9d58
oratchalcum_ingot, #d7b169
oratchalcum_nugget, #b9934d
party_hat, #ffffff
patrol_stick, #e1b297
piper_hat, #ffffc9
pirat_boat, #a5f8a2
pirat_chest_boat, #9abe70
pirat_cutlass, #ffffff
pirat_door, #83ac80
pirat_hanging_sign, #b1ffaf
pirat_hat, #bfaa9e
pirat_sapling, #327c22
pirat_sign, #b5ffb2
plague_doctor_mask, #a8aaaf
plague_doctorate, #c6ab7a
plague_essence, #3c4337
plague_leech, #f4f2e3
plague_scythe, #3d413a
