// Compost colors for sakuratinker. You may add your own colors, change existing ones, or remove colors that aren't needed.
alchemical_core_cast, #ffff7c
alchemical_core_red_sand_cast, #ff932f
alchemical_core_sand_cast, #ffffea
arcane_alloy, #d3d3d3
arrow_head_cast, #ffff7c
arrow_head_red_sand_cast, #ff932f
arrow_head_sand_cast, #ffffea
arrow_shaft_cast, #ffff7c
arrow_shaft_red_sand_cast, #ff932f
arrow_shaft_sand_cast, #ffffea
aurumos, #d6e468
axle_cast, #ffff7c
axle_red_sand_cast, #ff932f
axle_sand_cast, #ffffea
barrel_cast, #ffff79
barrel_red_sand_cast, #ff932f
barrel_sand_cast, #ffffe8
bear_interest_ingot, #d78051
blade_cast, #ffff7d
blade_red_sand_cast, #ff932f
blade_sand_cast, #ffffe8
blood_ball, #d40000
blood_bound_steel, #874351
blood_drop, #ff9797
book_cover_cast, #ffff80
book_cover_red_sand_cast, #ff942f
book_cover_sand_cast, #ffffed
charm_chain_cast, #ffff83
charm_chain_red_sand_cast, #ff942f
charm_chain_sand_cast, #ffffeb
charm_core_cast, #ffff7f
charm_core_red_sand_cast, #ff932f
charm_core_sand_cast, #ffffe8
chimera_gamma, #feffff
chord_cast, #ffff7c
chord_red_sand_cast, #ff9333
chord_sand_cast, #ffffe8
cold_iron_alloy, #705198
colorful_ingot, #edeeee
delusion, #87785b
dragon_sinew, #5e507d
echo_slimesteel, #265c62
eezo_ingot, #97989a
eezo_nugget, #3e4346
energy_unit_cast, #ffff80
energy_unit_red_sand_cast, #ff932f
energy_unit_sand_cast, #ffffeb
fiery_crystal, #f89b28
flag_cast, #ffff7d
flag_red_sand_cast, #ff932f
flag_sand_cast, #ffffea
fox_mask, #ffffff
frost_slimesteel, #e7fbfc
ghost_knife, #ffd7da
gluttonous, #dc946c
goozma, #685062
grappling_blade, #f5f5f5
great_blade_cast, #ffff7f
great_blade_red_sand_cast, #ff942f
great_blade_sand_cast, #ffffeb
laser_medium_cast, #ffff79
laser_medium_red_sand_cast, #ff932f
laser_medium_sand_cast, #ffffea
mycelium_slimesteel, #ffffd4
nihilite_ingot, #d7d7f7
orichalcum_ingot, #553996
orichalcum_raw, #8252e7
phantom_core_cast, #ffff80
phantom_core_red_sand_cast, #ff932f
phantom_core_sand_cast, #ffffea
prometheum_ingot, #79a56f
prometheum_raw, #73b57c
pyrothium, #ffab37
range_core_cast, #ffff7c
range_core_red_sand_cast, #ff932f
range_core_sand_cast, #ffffea
scythe_blade_cast, #ffff75
scythe_blade_red_sand_cast, #ff932f
scythe_blade_sand_cast, #ffffe8
shell_cast, #ffff7f
shell_red_sand_cast, #ff932f
shell_sand_cast, #ffffe8
slaughter, #96948e
slime_ball_echo, #a4a5a
slime_ball_frost, #fbfbfb
slime_ball_mycelium, #ddd7be
slime_crystal_earth, #c0ffcd
slime_crystal_nether, #ffd3ab
slime_crystal_sky, #c0fcff
soul_sakura, #fffeff
south_star, #fffa5e
spell_cloth_cast, #ffff7c
spell_cloth_red_sand_cast, #ff942f
spell_cloth_sand_cast, #ffffeb
steady_alloy, #943cff
swift_blade_cast, #ffff7c
swift_blade_red_sand_cast, #ff932f
swift_blade_sand_cast, #ffffea
swift_guard_cast, #ffff7d
swift_guard_red_sand_cast, #ff932f
swift_guard_sand_cast, #ffffe8
terracryst, #c9eaf0
two_form_mist_star, #e4e1ca
unholy_alloy, #6b514e
wither_heart, #413e3a
wu_yu, #fff4e4
youkai_ingot, #cf33f2
yoyo_body_cast, #ffff79
yoyo_body_red_sand_cast, #ff932f
yoyo_body_sand_cast, #ffffea
yoyo_ring_cast, #ffff7c
yoyo_ring_red_sand_cast, #ff932f
yoyo_ring_sand_cast, #ffffe8
zenith_first_fractal, #647d51
