// Compost colors for ticex. You may add your own colors, change existing ones, or remove colors that aren't needed.
cardboard_core, #d9b184
catalyst_gem_boots, #faccd6
catalyst_gem_chestplate, #f0ebff
catalyst_gem_helmet, #f7c9da
catalyst_gem_leggings, #e8d3f0
catalyst_irons_spellbook, #dacfe4
catalyst_kinetic_gun, #f8c0d0
catalyst_meka_tool, #f4c3c8
catalyst_mekasuit_boots, #f5c8d3
catalyst_mekasuit_chestplate, #dedcf4
catalyst_mekasuit_helmet, #e3b8d2
catalyst_mekasuit_leggings, #e0cae7
catalyst_slashblade, #c8d3f0
celestial_core, #ffffff
chaotic_crystal, #6e0a0a
chaotic_evolved_core, #752f2f
draconic_crystal, #d3e02f
draconic_evolved_core, #ffff84
draconium_crystal, #323aa2
draconium_evolved_core, #6262ff
etheric_ingot, #79ff91
exhausted_glove, #7a7f8a
flickering_reconstruction_core, #ffffff
incomparable_core, #9b79a8
inject_core, #3d3d3d
konpaku_core, #65d482
koshirae_core, #ded2b8
lamellar_core, #cf961f
radiation_shielding_core, #cacaca
reconstruction_core, #78aef7
resonance_gauntlet, #a7b5e6
slashblade_blade_cast, #ffff7c
slashblade_blade_red_sand_cast, #ff932f
slashblade_blade_sand_cast, #ffffe8
slashblade_saya_cast, #ffff7a
slashblade_saya_red_sand_cast, #ff932f
slashblade_saya_sand_cast, #ffffea
wyvern_crystal, #683ca4
wyvern_evolved_core, #917aff
