// Compost colors for tinkers_ingenuity. You may add your own colors, change existing ones, or remove colors that aren't needed.
black_dragon_substance, #694878
black_flash_alloy_ingot, #6e84d2
black_flash_alloy_nugget, #6878cd
black_gold_ingot, #574661
black_gold_nugget, #483c3d
blowpipe_mouth_cast, #ffff8c
blowpipe_mouth_red_sand_cast, #ffa143
blowpipe_mouth_sand_cast, #fffff2
blowpipe_tube_cast, #ffffae
blowpipe_tube_red_sand_cast, #ffbf6f
blowpipe_tube_sand_cast, #ffffff
colorful_slime_ingot, #fff5ff
colorful_slime_nugget, #ffffff
coloured_glaze_star, #d9f8ff
elfs_crystal, #44ffca
final_shell, #f88aca
flame_steel_ingot, #ffb275
flame_steel_nugget, #ffab48
knight_crystal_ingot, #ffd9ff
knight_crystal_nugget, #ffffff
medal_body_cast, #ffffac
medal_body_red_sand_cast, #ffbf6f
medal_body_sand_cast, #ffffff
medal_ribbons_cast, #ffff9a
medal_ribbons_red_sand_cast, #ffae55
medal_ribbons_sand_cast, #fffffa
mithril_ingot, #cdffff
mithril_nugget, #ffffff
plague_bone, #ffffff
sea_snail, #fcc35f
