// Compost colors for tinkers_thinking. You may add your own colors, change existing ones, or remove colors that aren't needed.
ancient_ceramic, #3298c2
ardite_ingot, #ffcaae
ardite_nugget, #ffffff
ashes, #b5b5b5
bacium, #ff9d30
beef_jerky, #eed2cd
beetron_ingot, #d64644
beetron_nugget, #c63e3c
black_chocolate, #a76543
bound_chain, #ffd4b4
chicken_jerky, #ffe8de
chillslime_cryogel, #ffffff
chlorophyll_a, #52aa2f
chlorophyll_b, #266f30
chlorophyte_compound, #43942f
chlorophyte_ingot, #48a526
chlorophyte_nugget, #3a8230
chromatic_crystal, #aba29b
clay_crystal, #949bb4
cod_jerky, #705252
dusk_chunk, #4718ed
earth_slime_drop, #8ee183
echo_bronze_ingot, #c8693
echo_bronze_nugget, #b6b75
electrical_steel_ingot, #d4d4af
electrical_steel_nugget, #bbbb98
ender_slime_drop, #e658ff
fried_egg, #ffffff
gilded_silky_cloth, #ffda34
ichor_slime_drop, #ff9e29
lightite_compound, #ebdce4
lightite_ingot, #ffffff
lightite_nugget, #fffefe
lightite_reinforcement, #66626c
magma_crystal, #f1ae41
magma_slime_drop, #fca040
mutton_jerky, #e7cac6
narrow_blade_cast, #ffff7c
narrow_blade_red_sand_cast, #ff932f
narrow_blade_sand_cast, #ffffea
obsidian_bronze_ingot, #a88d3e
obsidian_bronze_nugget, #a18639
ochre_frogcroaking, #aeffeb
pearlescent_frogcroaking, #a1ffff
pork_jerky, #fad9cd
pufferfish_jerky, #f8debb
pulp_bottle, #ffffff
quartz_crystal, #e4d2c6
rabbit_jerky, #ffddd0
raw_ardite, #edc646
rotten_flesh_jerky, #66482f
roving_arrow, #ffffff
salmon_jerky, #6e545f
seeking_arrow, #64d72a
shroomite_compound, #3475ff
shroomite_ingot, #2673ff
shroomite_nugget, #2069e4
silky_jewel, #ffe879
sky_slime_drop, #84dede
soul_shard_a, #2d93bc
soul_shard_b, #2d93bc
soul_vine, #40f734
spectre_compound, #40d4ff
spectre_ingot, #57f1ff
spectre_nugget, #57e3ff
stabilized_gunpowder, #8d8d8d
stone_ladder, #6c6c6c
stone_soul_torch, #8dafaf
stone_stick, #8c8c8c
stone_torch, #ffffff
surging_wellspring, #a56c4e
tempered_glass_pane, #d9ddde
tinkers_bronze_ingot, #ffda5a
tinkers_bronze_nugget, #e0a436
tropical_fish_jerky, #fffffc
verdant_frogcroaking, #87ffff
warden_steel_ingot, #82aba2
warden_steel_nugget, #6c9b93
white_chocolate, #f2ab5c
