// Compost colors for tinkersinnovation. You may add your own colors, change existing ones, or remove colors that aren't needed.
blood_bone, #de0a0a
blood_bottle, #f11f1f
cooked_bone, #fccd00
decline_ingot, #e0fffb
decline_nugget, #ffffff
efln_arrow, #ffffff
enchantment_ingot, #ffbfff
enchantment_nugget, #ffffff
eternium_reinforcement, #9090b6
farseeing_alloy_ingot, #d3f0ff
farseeing_alloy_nugget, #ffffff
fools_gold_ingot, #eada73
fools_gold_nugget, #ffffff
gorgon_hair, #e8fee8
heavy_shield_plate_cast, #fffffc
heavy_shield_plate_red_sand_cast, #ffffdc
heavy_shield_plate_sand_cast, #ffffff
hemolymph_bone, #65a7a4
honey_bone, #a4a55f
hostilium_ingot, #a09dd3
hostilium_nugget, #ffffff
light_shield_plate_cast, #ffffff
light_shield_plate_red_sand_cast, #ffffe6
light_shield_plate_sand_cast, #ffffff
mudslime_ingot, #ffffff
mudslime_nugget, #ffffff
polychrome_alloy_ingot, #e4ffea
polychrome_alloy_nugget, #ffffff
polychrome_alloy_reinforcement, #a0a19d
polychrome_mix, #c5cfaa
raw_void_crystal, #ffffff
sculkium_reinforcement, #86969b
shulkerate_reinforcement, #9b87a1
slime_bone, #4db694
slimton_ingot, #ffeeee
slimton_nugget, #ffffff
soul_bone, #91d3d3
straddlite_alloy_ingot, #b9b5c0
straddlite_alloy_nugget, #ffffff
sunsoul_alloy_ingot, #ddfffa
sunsoul_alloy_nugget, #ffffff
teleport_core, #a5f0e1
totemic_gold_reinforcement, #948c86
void_crystal_ingot, #866f91
void_crystal_nugget, #ffffff
