// Compost colors for trailandtales_delight. You may add your own colors, change existing ones, or remove colors that aren't needed.
ancient_coffee, #c6c0c8
baked_pitcher_pod, #7d4e3a
baked_torchflower_seeds, #91823c
cheese_slice, #fff157
cheese_wheel, #fff047
cherry_cake, #ffbbc5
cherry_cake_slice, #ffccaf
cherry_cheese_pie, #ffcda1
cherry_cheese_pie_slice, #ffe7bb
cherry_cheese_slice, #ffbcf4
cherry_iron_knife, #ea97b6
cherry_petal, #ffdade
cherry_petal_tea, #fce3ff
cooked_pitcher_taro, #b18352
cooked_sniffer_egg_block, #786f6b
curd_block, #ffffff
dried_cherry_petal, #f4a1ac
fried_sniffer_egg, #ffdac5
golden_lantern_fruit, #ffbb40
lantern_fruit, #ffd046
lantern_fruit_seeds, #6b4d00
pitcher_plant, #b1bec0
pitcher_plant_tea, #c9feff
pitcher_taro, #ebaf6e
pottery_bowl, #935143
sniffer_eggshell, #545251
sniffer_eggshell_knife, #6b6958
stuffed_sniffer_egg, #8e6439
stuffed_sniffer_egg_block, #78685c
torchflower_tea, #f2dec0
