// Compost colors for youkaishomecoming. You may add your own colors, change existing ones, or remove colors that aren't needed.
acacia_handrail, #fff2da
affogato, #ffffff
americano, #ffffff
apaki, #e7c69a
assorted_dango, #fef5e8
avgolemono, #bf983e
bamboo_handrail, #ffffe8
bamboo_mizuyokan, #b89e84
big_popsicle, #a5cded
birch_handrail, #ffffff
black_ball_danmaku, #a8a8a8
black_bubble_danmaku, #c0c0c0
black_butterfly_danmaku, #616161
black_circle_danmaku, #d9d9d9
black_grape, #46463c
black_grape_juice, #8791bc
black_grape_seeds, #94612c
black_laser, #ffffff
black_mentos_danmaku, #d3d3d3
black_pencil, #ffffff
black_spark_danmaku, #6f6f6f
black_star_danmaku, #d0d0d0
black_tea, #c3bfd7
black_tea_leaves, #473a2f
blazing_red_curry, #bc7947
blood_bottle, #ffffff
blood_curd, #af7c57
bloody_flesh, #d49b76
blue_ball_danmaku, #c5f0ff
blue_bubble_danmaku, #f7f7ff
blue_butterfly_danmaku, #a0c2ff
blue_circle_danmaku, #b9b9ff
blue_laser, #ffffff
blue_mentos_danmaku, #d4e3ff
blue_pencil, #ffffff
blue_spark_danmaku, #8ec0ff
blue_star_danmaku, #deffff
borscht, #7d5250
bowl_of_cream, #c3a073
bowl_of_flesh_feast, #e7cabc
bowl_of_heart_throbbing_surprise, #be836b
brown_ball_danmaku, #fffff0
brown_bubble_danmaku, #ffffff
brown_butterfly_danmaku, #ffffea
brown_circle_danmaku, #ffffe6
brown_laser, #ffffff
brown_mentos_danmaku, #fff5e1
brown_pencil, #ffffff
brown_spark_danmaku, #fff8ae
brown_star_danmaku, #ffffed
bun, #fffffa
burgundy, #bcb5d9
burgundy_bottle, #5f403e
butter, #fffffb
california_roll, #feeed7
california_roll_slice, #feebd3
can, #afb8b6
candy_apple, #e0302a
canned_flesh, #988a8d
cappuccino, #ffffff
champagne, #ebffff
champagne_bottle, #806e50
cherry_handrail, #ffffff
chest_of_heart_throbbing_surprise, #896b44
cirno_hairband, #5e7dd7
cirno_wings, #a4d9ff
clay_saucer, #ffd7b1
coffee_beans, #c5b1a4
coffee_berries, #f0d6bc
coffee_mochi, #ffffff
coffee_powder, #9e4623
cold_tofu, #b6ae72
con_panna, #ffffff
cooked_flesh, #b6472d
cooked_flesh_slice, #c95b3a
cooked_mandrake_root, #d9b179
copper_tank, #b85136
cornflower_tea, #bcc2d6
crab, #57584d
crab_bucket, #9196a0
crab_meat, #ffddbe
crab_roe, #ff682f
crimson_handrail, #f1d7e1
cucumber, #43862f
cucumber_seeds, #ffffe6
cucumber_slice, #65b140
cumberland_loin, #ae8469
custom_spell_homing, #b6b6b6
custom_spell_ring, #b6b6b6
cyan_ball_danmaku, #90ffff
cyan_bubble_danmaku, #e8ffff
cyan_butterfly_danmaku, #b6ffff
cyan_circle_danmaku, #e0ffff
cyan_laser, #ffffff
cyan_mentos_danmaku, #e3ffff
cyan_pencil, #ffffff
cyan_spark_danmaku, #76ffff
cyan_star_danmaku, #c8ffff
daiginjo, #fff8d9
dark_oak_handrail, #e1d4c8
dark_tea, #a5aec9
dark_tea_leaves, #342518
dassai, #af804d
doughnut, #ffc379
dried_fish, #a7966e
dried_mandrake_flower, #a773c2
egg_futomaki, #5a644a
